iter	RMSE
0	0.2902026842
1	0.2901363613
2	0.2900518085
3	0.2900108846
4	0.2899458023
5	0.2898856367
6	0.2898013058
7	0.2897311865
8	0.2897053035
9	0.289606036
10	0.2895393494
11	0.2894821753
12	0.2893693829
13	0.2893174426
14	0.2892586617
15	0.2892214893
16	0.289111774
17	0.2890671687
18	0.2889870983
19	0.2889146984
20	0.2888381097
21	0.2888127214
22	0.2887624334
23	0.2887139322
24	0.2886683742
25	0.2886265496
26	0.2885526319
27	0.2885024878
28	0.2884303586
29	0.2884077789
30	0.2883825152
31	0.2883318091
32	0.2882925544
33	0.2882495771
34	0.2881946558
35	0.2880925346
36	0.2880292379
37	0.2879721242
38	0.287936367
39	0.2878802946
40	0.2878524326
41	0.2877882069
42	0.2877302569
43	0.287689176
44	0.2876302525
45	0.2875870985
46	0.2875127604
47	0.2874728424
48	0.2874222385
49	0.2873706234
50	0.2873401733
51	0.2872777811
52	0.2872085925
53	0.2871676224
54	0.2871131588
55	0.287067977
56	0.2870322476
57	0.2869870848
58	0.2869390592
59	0.2869110303
60	0.2868787073
61	0.2868126298
62	0.2867646856
63	0.2867225855
64	0.2866449696
65	0.286599027
66	0.2865613503
67	0.2865004562
68	0.2864574567
69	0.2864104833
70	0.2863569962
71	0.2863176077
72	0.2862804118
73	0.2862610179
74	0.2862291118
75	0.2861733944
76	0.2861174883
77	0.2860914308
78	0.2860661688
79	0.2859943216
80	0.2859753696
81	0.2859186934
82	0.2858415566
83	0.2857848932
84	0.2857312259
85	0.2856912613
86	0.2856463595
87	0.2856311246
88	0.2855780392
89	0.2855346171
90	0.285488302
91	0.2854462122
92	0.285410654
93	0.2853818604
94	0.2853347223
95	0.2853013239
96	0.285235268
97	0.2851852941
98	0.2851607347
99	0.2851314104
100	0.2851112044
101	0.2850757957
102	0.2850243888
103	0.2849741999
104	0.284949809
105	0.2849101411
106	0.2848483609
107	0.2847878162
108	0.284732563
109	0.2847015777
110	0.2846669813
111	0.2846266647
112	0.2845989481
113	0.2845676996
114	0.2845176898
115	0.2844623557
116	0.2844009178
117	0.2843687198
118	0.2843375126
119	0.2842950014
120	0.2842395979
121	0.2842112315
122	0.2841689186
123	0.2841235696
124	0.2840913052
125	0.2840646553
126	0.2840137588
127	0.2839732893
128	0.2839406758
129	0.2839032848
130	0.2838870011
131	0.2838552216
132	0.2838025969
133	0.2837649003
134	0.2837334405
135	0.2836957141
136	0.2836510921
137	0.2836182606
138	0.2835892064
139	0.2835446158
140	0.2834998462
141	0.2834731378
142	0.2834201709
143	0.2833834584
144	0.2833420641
145	0.283307608
146	0.2832511689
147	0.283219316
148	0.2831645189
149	0.2831222224
150	0.2830661673
151	0.2830083589
152	0.2829661054
153	0.2829101697
154	0.2828701613
155	0.282831746
156	0.2827949343
157	0.2827432384
158	0.2827098223
159	0.2826768173
160	0.2826483055
161	0.2826093744
162	0.2825558012
163	0.2824918756
164	0.2824389766
165	0.2823986243
166	0.2823206433
167	0.282301723
168	0.2822543655
169	0.2821986237
170	0.2821329183
171	0.2820904615
172	0.2820537247
173	0.2820176613
174	0.2819665783
175	0.2819072611
176	0.2818768935
177	0.2818404283
178	0.2817934284
179	0.2817531449
180	0.2817189932
181	0.2816545205
182	0.2816050339
183	0.2815663041
184	0.2815272095
185	0.2814660455
186	0.2814149349
187	0.2813625979
188	0.2813173991
189	0.2812388704
190	0.2812126677
191	0.281154398
192	0.2810951383
193	0.281034676
194	0.2809689994
195	0.2809347668
196	0.2808938589
197	0.2808635945
198	0.2807969064
199	0.2807644161
200	0.2807044752
201	0.28062564
202	0.2805648758
203	0.2805246293
204	0.2804830214
205	0.2804518024
206	0.2803888433
207	0.2803246182
208	0.280259143
209	0.2802183566
210	0.2801581123
211	0.2800886704
212	0.2800292263
213	0.2799873539
214	0.2799293803
215	0.279885032
216	0.2798184431
217	0.2797793488
218	0.2797339783
219	0.2796717989
220	0.2796150606
221	0.2795623745
222	0.2795140534
223	0.2794294241
224	0.2793759121
225	0.2793275478
226	0.2792904482
227	0.2792535469
228	0.2791873126
229	0.2791400063
230	0.2790774716
231	0.2790262685
232	0.2789633321
233	0.2789269327
234	0.2788802053
235	0.27883318
236	0.2787708984
237	0.278704298
238	0.2786484964
239	0.2785682751
240	0.27851374
241	0.278462914
242	0.2784221331
243	0.278390639
244	0.2783379406
245	0.2782983164
246	0.2782582565
247	0.2782005179
248	0.278127963
249	0.2780849345
250	0.2780460194
251	0.2780007491
252	0.2779476762
253	0.2778875964
254	0.2778463589
255	0.2778101133
256	0.2777447355
257	0.2776791187
258	0.277623304
259	0.2775557874
260	0.2774915174
261	0.2774429662
262	0.2773971892
263	0.2773489976
264	0.2772697609
265	0.2772144641
266	0.2771686623
267	0.2771149738
268	0.2770447715
269	0.2769884937
270	0.2769331002
271	0.2768851561
272	0.2768380028
273	0.276787241
274	0.2767120945
275	0.2766792415
276	0.2766198821
277	0.2765721795
278	0.2765284507
279	0.2765070392
280	0.2764757064
281	0.2764107163
282	0.2763644347
283	0.276322662
284	0.2762814548
285	0.2762568643
286	0.2762024095
287	0.2761386938
288	0.2760941513
289	0.2760444622
290	0.27599918
291	0.2759474169
292	0.2758936429
293	0.2758362928
294	0.2758007748
295	0.275764859
296	0.2757191262
297	0.2756624252
298	0.275633343
299	0.2755944311
300	0.275543362
301	0.2754812475
302	0.2754462888
303	0.2753967162
304	0.2753471294
305	0.2753107074
306	0.2752583824
307	0.2752229984
308	0.2751674073
309	0.2751056412
310	0.2750692503
311	0.2749850921
312	0.2749459727
313	0.2749080539
314	0.2748815564
315	0.2748333208
316	0.2747942192
317	0.2747520374
318	0.2746940367
319	0.2746565613
320	0.274620248
321	0.2745656199
322	0.2745112264
323	0.2744806282
324	0.2744190122
325	0.2743830679
326	0.2743422163
327	0.2743060909
328	0.2742468918
329	0.2741969644
330	0.2741468958
331	0.2740857574
332	0.2740480229
333	0.2740040912
334	0.2739558975
335	0.2738903241
336	0.2738416654
