iter	Passed	Remaining
0	385	385379
1	431	215275
2	464	154401
3	486	121043
4	504	100342
5	521	86449
6	539	76519
7	557	69075
8	574	63260
9	608	60273
10	627	56421
11	645	53144
12	663	50340
13	680	47913
14	697	45828
15	714	43930
16	732	42361
17	748	40850
18	766	39591
19	800	39204
20	817	38117
21	834	37099
22	850	36148
23	868	35315
24	886	34554
25	903	33839
26	921	33200
27	938	32577
28	955	31992
29	972	31436
30	989	30914
31	1020	30878
32	1039	30453
33	1056	30012
34	1074	29617
35	1092	29244
36	1109	28885
37	1127	28549
38	1144	28198
39	1161	27871
40	1178	27557
41	1195	27269
42	1229	27360
43	1246	27086
44	1263	26823
45	1280	26563
46	1298	26328
47	1319	26160
48	1336	25934
49	1353	25724
50	1371	25511
51	1389	25322
52	1407	25145
53	1439	25220
54	1457	25037
55	1474	24854
56	1496	24756
57	1513	24584
58	1530	24417
59	1548	24252
60	1564	24087
61	1583	23949
62	1599	23796
63	1617	23649
64	1634	23516
65	1665	23567
66	1684	23459
67	1701	23327
68	1718	23190
69	1735	23061
70	1753	22941
71	1770	22819
72	1787	22703
73	1804	22580
74	1821	22461
75	1839	22358
76	1870	22426
77	1888	22327
78	1905	22218
79	1922	22113
80	1939	22009
81	1957	21913
82	1975	21822
83	1993	21734
84	2010	21647
85	2027	21552
86	2045	21466
87	2061	21368
88	2093	21430
89	2112	21355
90	2129	21270
91	2146	21186
92	2163	21100
93	2180	21016
94	2198	20941
95	2215	20864
96	2233	20788
97	2251	20719
98	2267	20640
99	2304	20742
100	2322	20674
101	2339	20599
102	2357	20530
103	2374	20457
104	2391	20385
105	2408	20311
106	2425	20242
107	2442	20175
108	2460	20111
109	2477	20046
110	2494	19979
111	2530	20061
112	2562	20118
113	2580	20056
114	2597	19991
115	2614	19927
116	2632	19869
117	2649	19804
118	2667	19745
119	2684	19686
120	2702	19632
121	2720	19579
122	2753	19632
123	2772	19584
124	2789	19529
125	2807	19472
126	2823	19410
127	2841	19358
128	2858	19299
129	2875	19245
130	2892	19186
131	2909	19133
132	2927	19081
133	2944	19027
134	2976	19073
135	2995	19029
136	3012	18975
137	3029	18923
138	3046	18871
139	3065	18828
140	3081	18775
141	3099	18726
142	3116	18679
143	3134	18631
144	3151	18585
145	3169	18539
146	3202	18582
147	3221	18547
148	3239	18501
149	3257	18456
150	3277	18430
151	3296	18390
152	3313	18344
153	3330	18297
154	3347	18250
155	3364	18204
156	3381	18156
157	3414	18194
158	3431	18152
159	3450	18115
160	3467	18068
161	3484	18023
162	3501	17981
163	3520	17945
164	3538	17907
165	3559	17881
166	3576	17839
167	3593	17796
168	3626	17831
169	3646	17801
170	3665	17768
171	3682	17728
172	3700	17689
173	3717	17646
174	3733	17601
175	3750	17557
176	3766	17513
177	3783	17472
178	3799	17428
179	3816	17386
180	3841	17381
181	3859	17346
182	3876	17306
183	3893	17265
184	3910	17225
185	3927	17189
186	3945	17151
187	3961	17110
188	3978	17069
189	3995	17034
190	4012	16993
191	4028	16953
192	4054	16954
193	4073	16922
194	4090	16885
195	4107	16847
196	4124	16812
197	4141	16777
198	4158	16740
199	4175	16700
200	4192	16665
201	4210	16632
202	4227	16597
203	4243	16558
204	4273	16571
205	4294	16554
206	4312	16519
207	4328	16482
208	4346	16450
209	4363	16415
210	4380	16379
211	4397	16345
212	4414	16312
213	4431	16277
214	4448	16243
215	4465	16208
216	4492	16210
217	4510	16180
218	4528	16148
219	4545	16115
220	4562	16082
221	4579	16048
222	4598	16024
223	4617	15997
224	4635	15965
225	4652	15934
226	4669	15901
227	4686	15868
228	4713	15868
229	4730	15836
230	4747	15805
231	4764	15773
232	4782	15741
233	4798	15708
234	4815	15676
235	4832	15644
236	4850	15614
237	4867	15585
238	4884	15553
239	4901	15522
240	4928	15522
241	4946	15492
242	4963	15462
243	4980	15431
244	4998	15402
245	5015	15371
246	5032	15341
247	5049	15311
248	5067	15283
249	5084	15253
250	5101	15222
251	5119	15196
252	5145	15191
253	5163	15164
254	5181	15138
255	5198	15109
256	5219	15090
257	5237	15061
258	5254	15033
259	5271	15004
260	5288	14974
261	5306	14946
262	5332	14944
263	5350	14916
264	5368	14890
265	5385	14861
266	5402	14831
267	5420	14804
268	5438	14778
269	5455	14749
270	5472	14720
271	5489	14691
272	5506	14663
273	5534	14665
274	5553	14640
275	5570	14611
276	5587	14583
277	5604	14555
278	5621	14527
279	5638	14499
280	5655	14469
281	5672	14442
282	5688	14413
283	5705	14383
284	5721	14353
285	5748	14352
286	5766	14326
287	5784	14299
288	5801	14271
289	5818	14244
290	5834	14216
291	5851	14188
292	5868	14160
293	5885	14134
294	5902	14105
295	5919	14078
296	5935	14049
297	5964	14049
298	5982	14025
299	5999	13998
300	6016	13972
301	6034	13948
302	6051	13921
303	6069	13895
304	6087	13870
305	6103	13843
306	6120	13815
307	6136	13787
308	6154	13762
309	6183	13763
310	6204	13745
311	6221	13719
312	6238	13692
